,Dining_Hall,Course,Menu_Item,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Total_Carbohydrate,Dietary_Fiber,Sugars,Protein,Nutrition_Score
0,east-quad,Breakfast,Oatmeal,253,183,3,1,0.0,0,3,33,5,1,6,3.21
1,east-quad,Breakfast,Scrambled Eggs,84,163,12,4,0.0,336,116,0,0,0,11,3.34
2,east-quad,Breakfast,Scrambled Tempeh,113,197,8,2,0.0,0,222,14,6,1,18,2.58
3,east-quad,Breakfast,Chicken Sausage Patties,43,81,6,2,0.0,41,273,0,0,0,6,0.71
4,east-quad,Breakfast,Vegetable Fried Rice,100,115,2,1,0.0,38,115,19,1,2,4,2.11
5,east-quad,Breakfast,Patatas Bravas,85,159,11,2,0.0,4,178,15,1,3,1,1.87
6,east-quad,Breakfast,Kale Saute,85,69,4,0,0.0,0,111,8,2,0,3,1.81
7,east-quad,Breakfast,Dutch Waffle,128,721,58,13,0.0,20,350,43,3,12,4,2.44
8,east-quad,Breakfast,Sausage Gravy,57,73,4,2,0.0,12,178,5,0,3,4,0.53
9,east-quad,Breakfast,Biscuits,62,185,8,5,0.0,0,576,25,1,2,3,-0.25
10,east-quad,Breakfast,Egg and Cheese Croissant,101,274,16,8,0.0,227,340,20,1,5,11,1.71
11,east-quad,Breakfast,Egg & Cheese English Muffin Sandwich,124,243,10,4,0.0,201,474,25,1,2,12,1.14
12,east-quad,Breakfast,Cinnamon Sugar Donuts,94,398,23,10,0.0,15,570,44,1,19,4,1.4
13,east-quad,Breakfast,Cappuccino Chocolate Chip Muffins,54,202,9,3,0.0,18,145,27,1,17,2,2.23
14,east-quad,Breakfast,Chocolate Chocolate Chip Muffins,54,176,8,2,0.0,17,172,24,1,15,2,2.01
15,east-quad,Lunch,Hummus,28,53,4,1,0.0,0,92,3,1,0,1,1.5
16,east-quad,Lunch,Fresh Pico De Gallo,28,5,0,0,0.0,0,2,1,0,1,0,2.6
17,east-quad,Lunch,East Carolina Slaw,57,26,0,0,0.0,0,157,7,1,6,0,-2.9
18,east-quad,Lunch,Macaroni Salad,113,211,14,2,0.0,94,471,16,1,2,5,0.83
19,east-quad,Lunch,Three Bean Chili,198,126,2,0,0.0,0,449,22,6,7,5,-0.13
20,east-quad,Lunch,Loaded Baked Potato Soup,227,422,32,19,1.0,104,414,26,2,6,11,0.79
21,east-quad,Lunch,Italian Local Chicken,95,220,16,4,0.0,67,146,1,0,0,17,2.49
22,east-quad,Lunch,Redskin Potato Salad,113,202,15,2,0.0,7,367,16,2,1,2,1.25
23,east-quad,Lunch,Tofu Vietnamese Chili Stir Fry,119,116,6,1,0.0,1,640,8,2,4,9,-2.04
24,east-quad,Lunch,Long Grain Rice,74,119,0,0,0.0,0,184,26,0,0,3,1.55
25,east-quad,Lunch,Lime Wedges,10,3,0,0,0.0,0,0,1,0,0,0,3.0
26,east-quad,Lunch,Black Bean Vegetarian Patty,96,150,5,1,0.0,5,321,16,5,2,14,1.48
27,east-quad,Lunch,Sliced Pepper Jack Cheese,28,101,8,5,0.0,25,192,1,0,0,6,0.89
28,east-quad,Lunch,Black Bean and Corn Salad,57,50,0,0,0.0,0,65,9,2,2,2,2.08
29,east-quad,Lunch,6 In Sub Bun,65,151,2,1,0.0,0,261,27,1,1,6,1.41
30,east-quad,Lunch,Seasoned Green Beans,113,53,2,0,0.0,0,197,9,3,4,2,-0.24
31,east-quad,Lunch,Totchos,227,498,36,11,0.0,33,1028,31,5,3,12,1.0
32,east-quad,Lunch,Grilled Halal Honey Lime Chicken,95,112,3,0,0.0,40,174,1,0,1,19,2.13
33,east-quad,Lunch,Mexican Rice,113,272,0,0,0.0,0,180,59,0,1,6,2.43
34,east-quad,Lunch,"Corn with Cumin, Chili, and Tomato",113,99,2,0,0.0,0,223,19,2,7,3,0.98
35,east-quad,Lunch,Roasted Zucchini,170,53,4,1,0.0,0,64,5,2,4,2,2.17
36,east-quad,Lunch,Cheese Bread,51,207,8,4,0.0,21,375,22,1,1,9,1.24
37,east-quad,Lunch,Pepperoni Pizza,113,298,10,5,0.0,28,647,33,2,2,12,0.9
38,east-quad,Lunch,Cheese Pizza,105,269,8,4,0.0,21,540,33,2,2,11,1.08
39,east-quad,Lunch,Corn Dogs,113,273,14,4,0.0,46,709,27,1,9,10,0.46
40,east-quad,Lunch,Homestyle Chicken Tenders,85,289,19,4,0.0,0,509,13,1,0,16,1.42
41,east-quad,Lunch,French Fries,113,190,10,1,0.0,0,470,25,1,1,1,0.54
42,east-quad,Lunch,Chocolate Chunk Cookies,35,152,7,3,0.0,5,117,21,1,13,2,2.15
43,east-quad,Lunch,Strawberry Torte,135,564,31,18,1.0,86,388,69,1,56,3,1.05
44,east-quad,Lunch,Butterscotch Blondies,52,233,12,8,0.0,44,223,30,1,18,3,1.81
45,east-quad,Lunch,Vegan Bumpy Cake,147,492,22,7,0.0,0,562,70,1,53,5,1.78
46,east-quad,Dinner,Three Bean Chili,198,126,2,0,0.0,0,449,22,6,7,5,-0.13
47,east-quad,Dinner,Loaded Baked Potato Soup,227,422,32,19,1.0,104,414,26,2,6,11,0.79
48,east-quad,Dinner,Naan Bread,57,170,6,1,0.0,0,454,26,1,1,4,0.41
49,east-quad,Dinner,Lamb Vindaloo,99,126,5,1,0.0,46,227,5,1,3,15,1.81
50,east-quad,Dinner,Basmati Rice,113,156,2,0,0.0,0,31,35,1,0,3,2.91
51,east-quad,Dinner,Small Flour Tortillas,23,67,2,1,0.0,0,67,11,0,1,1,1.93
52,east-quad,Dinner,Black Beans and Brown Rice,85,147,5,0,0.0,0,119,23,3,2,4,2.43
53,east-quad,Dinner,Fresh Pico De Gallo,28,5,0,0,0.0,0,2,1,0,1,0,2.6
54,east-quad,Dinner,Guacamole,28,66,6,1,0.0,0,113,3,2,0,1,1.88
55,east-quad,Dinner,Black Bean Vegetarian Patty,96,150,5,1,0.0,5,321,16,5,2,14,1.48
56,east-quad,Dinner,Sliced Pepper Jack Cheese,28,101,8,5,0.0,25,192,1,0,0,6,0.89
57,east-quad,Dinner,Corn and Black Bean Salsa,57,35,1,0,0.0,0,101,7,2,2,1,0.51
58,east-quad,Dinner,Sub Bun,94,217,3,1,0.0,0,384,39,1,2,8,1.37
59,east-quad,Dinner,Seasoned Green Beans,113,53,2,0,0.0,0,197,9,3,4,2,-0.24
60,east-quad,Dinner,Totchos,227,498,36,11,0.0,33,1028,31,5,3,12,1.0
61,east-quad,Dinner,Italian Grilled Shrimp,85,41,2,0,0.0,35,263,2,1,1,5,-2.42
62,east-quad,Dinner,Soft Polenta with Quattro Formaggi,113,145,7,5,0.0,24,226,15,1,0,6,1.37
63,east-quad,Dinner,Zucchini and Summer Squash,113,55,4,0,0.0,0,62,4,1,3,1,2.19
64,east-quad,Dinner,Cheese Bread,51,207,8,4,0.0,21,375,22,1,1,9,1.24
65,east-quad,Dinner,Cheese Pizza,105,269,8,4,0.0,21,540,33,2,2,11,1.08
66,east-quad,Dinner,Pepperoni Pizza,113,298,10,5,0.0,28,647,33,2,2,12,0.9
67,east-quad,Dinner,Corn Dogs,113,273,14,4,0.0,46,709,27,1,9,10,0.46
68,east-quad,Dinner,Homestyle Chicken Tenders,85,289,19,4,0.0,0,509,13,1,0,16,1.42
69,east-quad,Dinner,French Fries,113,190,10,1,0.0,0,470,25,1,1,1,0.54
70,east-quad,Dinner,Chocolate Chunk Cookies,35,152,7,3,0.0,5,117,21,1,13,2,2.15
71,east-quad,Dinner,Butterscotch Blondies,52,233,12,8,0.0,44,223,30,1,18,3,1.81
72,east-quad,Dinner,Strawberry Torte,135,564,31,18,1.0,86,388,69,1,56,3,1.05
73,east-quad,Dinner,Vegan Bumpy Cake,147,492,22,7,0.0,0,562,70,1,53,5,1.78
74,east-quad,Dinner,Peach Crisp,144,253,10,5,0.0,0,204,40,1,25,2,2.07
75,markley,Breakfast,Oatmeal,253,183,3,1,0.0,0,3,33,5,1,6,3.21
76,markley,Breakfast,Egg & Cheese English Muffin Sandwich,124,243,10,4,0.0,201,474,25,1,2,12,1.14
77,markley,Breakfast,Pork Sausage Patty,43,179,16,6,0.0,30,284,0,0,0,6,2.24
78,markley,Breakfast,Scrambled Eggs,84,163,12,4,0.0,336,116,0,0,0,11,3.34
79,markley,Breakfast,Scrambled Tofu,113,157,10,2,0.0,0,231,4,2,1,13,2.25
80,markley,Breakfast,Sauteed Vegetables,91,54,2,0,0.0,0,17,7,2,3,2,3.13
81,markley,Breakfast,Home Fries,113,147,8,1,0.0,0,231,17,2,0,2,1.54
82,markley,Breakfast,Blueberry Muffins,54,164,7,1,0.0,17,138,23,1,13,2,2.2
83,markley,Breakfast,Vanilla Glazed Donuts,82,309,16,8,0.0,0,269,41,1,20,4,1.97
84,markley,Lunch,Criss Cross Fries,113,283,20,4,2.0,0,27,23,1,1,1,1.82
85,markley,Lunch,Roasted Broccoli,85,42,2,0,0.0,0,53,6,2,1,2,2.26
86,markley,Lunch,Grilled Portabello Mushroom,96,112,6,1,0.0,0,11,15,1,10,1,2.93
87,markley,Lunch,Beef Chili,227,158,5,2,0.0,14,542,21,6,8,9,-0.02
88,markley,Lunch,Beef Hot Dog,99,294,15,5,0.0,28,938,26,1,3,12,-0.14
89,markley,Lunch,Hot Dog Buns,38,88,1,0,0.0,0,193,16,1,2,4,1.05
90,markley,Lunch,Spicy Pinto Beans,85,61,0,0,0.0,0,130,12,3,2,3,1.32
91,markley,Lunch,Chicken Tinga,57,72,4,1,0.0,0,117,1,0,1,8,1.7
92,markley,Lunch,Nacho Cheese Sauce,57,68,4,0,0.0,0,553,6,0,2,1,-5.07
93,markley,Lunch,Strawberry Torte,135,564,31,18,1.0,86,388,69,1,56,3,1.05
94,markley,Lunch,Whipped Topping,7,24,2,1,0.0,6,0,1,0,1,0,2.62
95,markley,Lunch,Caramel Sauce,14,52,2,1,0.0,7,6,9,0,9,0,2.71
96,markley,Lunch,Chocolate Sauce,10,17,1,0,0.0,1,3,3,0,3,0,2.82
97,markley,Lunch,Michigan Vanilla Ice Cream,65,142,8,5,0.0,30,45,16,0,13,2,2.42
98,markley,Lunch,Butterscotch Blondies,52,233,12,8,0.0,44,223,30,1,18,3,1.81
99,markley,Lunch,Vegan Bumpy Cake,147,492,22,7,0.0,0,562,70,1,53,5,1.78
100,markley,Lunch,Chocolate Chunk Cookies,35,152,7,3,0.0,5,117,21,1,13,2,2.15
101,markley,Dinner,Sweet & Sour Sauce,28,31,0,0,0.0,0,142,6,0,5,0,-1.58
102,markley,Dinner,Honey Mustard,14,28,0,0,0.0,0,128,3,0,3,0,-1.57
103,markley,Dinner,BBQ Sauce,28,55,0,0,0.0,0,228,14,0,13,0,-1.15
104,markley,Dinner,Ranch Dressing,28,101,11,2,0.0,6,247,1,0,1,1,0.41
105,markley,Dinner,Beef Chili,227,158,5,2,0.0,14,542,21,6,8,9,-0.02
106,markley,Dinner,Criss Cross Fries,113,283,20,4,2.0,0,27,23,1,1,1,1.82
107,markley,Dinner,Homestyle Chicken Tenders,85,289,19,4,0.0,0,509,13,1,0,16,1.42
108,markley,Dinner,Medium Grain Rice,94,157,0,0,0.0,0,0,36,1,0,3,3.11
109,markley,Dinner,Tofu with Yu-Xiang Sauce,113,222,14,2,0.0,0,329,12,3,5,13,1.92
110,markley,Dinner,Penne Pasta with Meat Sauce,91,106,2,1,0.0,5,301,18,2,3,4,0.34
111,markley,Dinner,Malawi Beef Stew,104,103,7,1,0.0,18,118,4,1,1,7,2.28
112,markley,Dinner,Steamed Baby Carrots,113,38,0,0,0.0,0,88,10,0,5,0,0.68
113,markley,Dinner,Butterscotch Blondies,52,233,12,8,0.0,44,223,30,1,18,3,1.81
114,markley,Dinner,Vegan Bumpy Cake,147,492,22,7,0.0,0,562,70,1,53,5,1.78
115,markley,Dinner,Strawberry Torte,135,564,31,18,1.0,86,388,69,1,56,3,1.05
116,markley,Dinner,Peach Crisp,144,253,10,5,0.0,0,204,40,1,25,2,2.07
117,markley,Dinner,Chocolate Chunk Cookies,35,152,7,3,0.0,5,117,21,1,13,2,2.15
118,north-quad,Breakfast,Oatmeal,253,183,3,1,0.0,0,3,33,5,1,6,3.21
119,north-quad,Breakfast,Sauteed Vegetables,91,54,2,0,0.0,0,17,7,2,3,2,3.13
120,north-quad,Breakfast,Scrambled Tofu,113,157,10,2,0.0,0,231,4,2,1,13,2.25
121,north-quad,Breakfast,Scrambled Eggs,84,163,12,4,0.0,336,116,0,0,0,11,3.34
122,north-quad,Breakfast,Cinnamon Pull Apart Bread,82,304,15,10,0.0,24,471,40,0,21,3,1.19
123,north-quad,Breakfast,Chicken Sausage Patties,43,81,6,2,0.0,41,273,0,0,0,6,0.71
124,north-quad,Breakfast,O'Brien Potatoes,105,85,2,0,0.0,0,148,15,2,0,2,1.48
125,north-quad,Breakfast,Chocolate Chocolate Chip Muffins,54,176,8,2,0.0,17,172,24,1,15,2,2.01
126,north-quad,Breakfast,Apple Cinnamon Muffins,54,181,9,2,0.0,22,172,23,1,12,2,2.03
127,north-quad,Breakfast,Assorted Mini Scones,27,97,4,2,0.0,0,85,13,0,7,1,1.97
128,north-quad,Lunch,Herb Baked Chicken,99,155,10,3,0.0,0,150,0,0,0,16,3.27
129,north-quad,Lunch,Balsamic Glaze,14,33,0,0,0.0,0,0,9,0,5,0,3.0
130,north-quad,Lunch,Italian White Bean Salad,91,124,6,1,0.0,0,348,13,4,1,4,0.56
131,north-quad,Lunch,Sauteed Vegetables,91,54,2,0,0.0,0,17,7,2,3,2,3.13
132,north-quad,Lunch,Balsamic Marinated Seitan,94,244,20,1,0.0,0,452,4,0,1,15,1.36
133,north-quad,Lunch,Italian White Bean Salad,91,124,6,1,0.0,0,348,13,4,1,4,0.56
134,north-quad,Lunch,Sauteed Vegetables,91,54,2,0,0.0,0,17,7,2,3,2,3.13
135,north-quad,Lunch,Pepperoni Flatbread Pizza,53,107,6,3,0.0,17,276,8,1,1,5,0.48
136,north-quad,Lunch,Cheese Flatbread Pizza,49,89,5,2,0.0,13,210,8,1,1,4,0.74
137,north-quad,Lunch,Corn Dogs,113,273,14,4,0.0,46,709,27,1,9,10,0.46
138,north-quad,Lunch,Beef Hot Dog,99,294,15,5,0.0,28,938,26,1,3,12,-0.14
139,north-quad,Lunch,Seasoned Fries,77,176,12,2,0.0,0,147,15,1,0,2,2.18
140,north-quad,Lunch,Pub Fried Tofu,85,246,9,2,0.0,0,78,31,2,0,11,2.85
141,north-quad,Lunch,Seasoned Fries,77,176,12,2,0.0,0,147,15,1,0,2,2.18
142,north-quad,Lunch,Butterscotch Blondies,52,233,12,8,0.0,44,223,30,1,18,3,1.81
143,north-quad,Lunch,Chocolate Chunk Cookies,35,152,7,3,0.0,5,117,21,1,13,2,2.15
144,north-quad,Dinner,Halal Greek Chicken,57,102,7,2,0.0,0,114,0,0,0,10,3.09
145,north-quad,Dinner,Cucumber Relish,28,23,2,0,0.0,0,23,1,0,1,0,2.0
146,north-quad,Dinner,Garlic Sauce,28,189,21,2,0.0,0,60,2,0,0,0,2.58
147,north-quad,Dinner,Lemon Parsley Rice,113,153,0,0,0.0,0,190,33,0,1,4,1.86
148,north-quad,Dinner,Sauteed Vegetables,91,54,2,0,0.0,0,17,7,2,3,2,3.13
149,north-quad,Dinner,Korean Style Tempeh BBQ,71,119,3,1,0.0,0,516,12,3,4,10,-0.83
150,north-quad,Dinner,Mango Relish,57,41,1,0,0.0,0,107,8,1,7,0,0.51
151,north-quad,Dinner,Lemon Parsley Rice,113,153,0,0,0.0,0,190,33,0,1,4,1.86
152,north-quad,Dinner,Sauteed Vegetables,91,54,2,0,0.0,0,17,7,2,3,2,3.13
153,north-quad,Dinner,Pepperoni Flatbread Pizza,53,107,6,3,0.0,17,276,8,1,1,5,0.48
